"","Problem","Resolution.notes","Platform","Category"," RE-RAN JOB AFTER CONNECTIVITY IS RESTORED","Nothing","RE-START THE JOB ONCE OUTAGE IS COMPLETE"
"19","SQL SERVER OUTAGE","RE-START THE JOB ONCE OUTAGE IS COMPLETE","Application Client Server","Autosys",0.0666137985725615,0.0610626486915147,0.872323552735924
"8","MAINFRAME CONNECTIVITY ISSUE"," RE-RAN JOB AFTER CONNECTIVITY IS RESTORED","Application Client Server","Other",0.94717059929004,0.0241177698893297,0.0287116308206306
"7","MAINFRAME CONNECTIVITY ISSUE"," RE-RAN JOB AFTER CONNECTIVITY IS RESTORED","Application Client Server","",0.899642998809996,0.0458151527171757,0.0545418484728283
"17","SQL SERVER OUTAGE","RE-START THE JOB ONCE OUTAGE IS COMPLETE","Application Client Server","Autosys",0.0666137985725615,0.0610626486915147,0.872323552735924
"3","MAINFRAME CONNECTIVITY ISSUE"," RE-RAN JOB AFTER CONNECTIVITY IS RESTORED","Application Client Server","Autosys",0.743850442768121,0.075762545096753,0.180387012135126
"18","SQL SERVER OUTAGE","RE-START THE JOB ONCE OUTAGE IS COMPLETE","Application Client Server","Autosys",0.0666137985725615,0.0610626486915147,0.872323552735924
"16","SQL SERVER OUTAGE","RE-START THE JOB ONCE OUTAGE IS COMPLETE","Application Client Server","Autosys",0.0666137985725615,0.0610626486915147,0.872323552735924
"6","MAINFRAME CONNECTIVITY ISSUE"," RE-RAN JOB AFTER CONNECTIVITY IS RESTORED","Application Client Server","Auto1",0.93077975376197,0.0316005471956224,0.0376196990424077
"10","MAINFRAME CONNECTIVITY ISSUE"," RE-RAN JOB AFTER CONNECTIVITY IS RESTORED","Application Client Server","Other",0.94717059929004,0.0241177698893297,0.0287116308206306
"20","SQL SERVER OUTAGE","RE-START THE JOB ONCE OUTAGE IS COMPLETE","Application Client Server","Autosys",0.0666137985725615,0.0610626486915147,0.872323552735924
"11","MAINFRAME CONNECTIVITY ISSUE"," RE-RAN JOB AFTER CONNECTIVITY IS RESTORED","Application Client Server","Other",0.94717059929004,0.0241177698893297,0.0287116308206306
"15","AUTOSYS OUTAGE","Nothing","Application Client Server","Autosys",0.168561872909699,0.463545150501672,0.367892976588629
"13","AUTOSYS OUTAGE","Nothing","Application Client Server","Autosys",0.168561872909699,0.463545150501672,0.367892976588629
"2","MAINFRAME CONNECTIVITY ISSUE"," RE-RAN JOB AFTER CONNECTIVITY IS RESTORED","Application Client Server","Autosys",0.743850442768121,0.075762545096753,0.180387012135126
"9","MAINFRAME CONNECTIVITY ISSUE"," RE-RAN JOB AFTER CONNECTIVITY IS RESTORED","Application Client Server","Auto1",0.93077975376197,0.0316005471956224,0.0376196990424077
